date,home_team,Home Team Goals,away_team,Away Team Goals,Home Team Initials,Away Team Initials
1994-06-02,Austria,1,Germany,5,AUT,GER
1994-06-02,Finland,1,Spain,2,FIN,ESP
1994-06-02,Latvia,2,Malta,0,LVA,MLT
1994-06-03,Bulgaria,1,Ukraine,1,BUL,UKR
1994-06-03,Colombia,2,Northern Ireland,0,COL,NIR
1994-06-03,Italy,1,Switzerland,0,ITA,SUI
1994-06-04,Croatia,0,Argentina,0,CRO,ARG
1994-06-04,Trinidad and Tobago,2,Saudi Arabia,3,TRI,KSA
1994-06-05,Canada,1,Brazil,1,CAN,BRA
1994-06-05,Colombia,2,Greece,0,COL,GRE
1994-06-05,Republic of Ireland,1,Czech Republic,3,IRL,CZE
1994-06-05,Sweden,2,Norway,0,SWE,NOR
1994-06-08,Australia,1,South Africa,0,AUS,RSA
1994-06-08,Belgium,3,Hungary,1,BEL,HUN
1994-06-08,Bolivia,0,Peru,0,BOL,PER
1994-06-08,Canada,0,Germany,2,CAN,GER
1994-06-08,Honduras,2,Brazil,8,HON,BRA
1994-06-10,Canada,0,Spain,2,CAN,ESP
1994-06-11,Bolivia,0,Switzerland,0,BOL,SUI
1994-06-11,Costa Rica,0,Italy,1,CRC,ITA
1994-06-11,Mexico,3,Northern Ireland,0,MEX,NIR
1994-06-11,Nigeria,5,Georgia,1,NGA,GEO
1994-06-12,Australia,1,South Africa,0,AUS,RSA
1994-06-12,Canada,0,Netherlands,3,CAN,NED
1994-06-12,El Salvador,0,Brazil,4,SLV,BRA
1994-06-12,Romania,1,Sweden,1,ROU,SWE
1994-06-17,Germany,1,Bolivia,0,GER,BOL
1994-06-18,Colombia,1,Romania,3,COL,ROU
1994-06-18,Italy,0,Republic of Ireland,1,ITA,IRL
1994-06-19,Belgium,1,Morocco,0,BEL,MAR
1994-06-19,Cameroon,2,Sweden,2,CMR,SWE
1994-06-19,Norway,1,Mexico,0,NOR,MEX
1994-06-20,Brazil,2,Russia,0,BRA,RUS
1994-06-20,Netherlands,2,Saudi Arabia,1,NED,KSA
1994-06-21,Argentina,4,Greece,0,ARG,GRE
1994-06-21,Germany,1,Spain,1,GER,ESP
1994-06-21,Nigeria,3,Bulgaria,0,NGA,BUL
1994-06-22,Romania,1,Switzerland,4,ROU,SUI
1994-06-23,Italy,1,Norway,0,ITA,NOR
1994-06-24,Brazil,3,Cameroon,0,BRA,CMR
1994-06-24,Mexico,2,Republic of Ireland,1,MEX,IRL
1994-06-24,Sweden,3,Russia,1,SWE,RUS
1994-06-25,Argentina,2,Nigeria,1,ARG,NGA
1994-06-25,Belgium,1,Netherlands,0,BEL,NED
1994-06-25,Saudi Arabia,2,Morocco,1,KSA,MAR
1994-06-26,Bulgaria,4,Greece,0,BUL,GRE
1994-06-26,Latvia,1,Georgia,3,LVA,GEO
1994-06-26,Switzerland,0,Colombia,2,SUI,COL
1994-06-27,Bolivia,1,Spain,3,BOL,ESP
1994-06-28,Brazil,1,Sweden,1,BRA,SWE
1994-06-28,Republic of Ireland,0,Norway,0,IRL,NOR
1994-06-28,Italy,1,Mexico,1,ITA,MEX
1994-06-28,Russia,6,Cameroon,1,RUS,CMR
1994-06-29,Belgium,0,Saudi Arabia,1,BEL,KSA
1994-06-29,Morocco,1,Netherlands,2,MAR,NED
1994-06-30,Argentina,0,Bulgaria,2,ARG,BUL
1994-06-30,Greece,0,Nigeria,2,GRE,NGA
1994-07-01,Botswana,0,Namibia,1,BOT,NAM
1994-07-02,Germany,3,Belgium,2,GER,BEL
1994-07-02,Spain,3,Switzerland,0,ESP,SUI
1994-07-03,Romania,3,Argentina,2,ROU,ARG
1994-07-03,Saudi Arabia,1,Sweden,3,KSA,SWE
1994-07-04,Netherlands,2,Republic of Ireland,0,NED,IRL
1994-07-05,Mexico,1,Bulgaria,1,MEX,BUL
1994-07-05,Nigeria,1,Italy,2,NGA,ITA
1994-07-06,Solomon Islands,4,Vanuatu,0,SOL,VAN
1994-07-07,Solomon Islands,1,Fiji,0,SOL,FIJ
1994-07-08,Japan,3,Ghana,2,JPN,GHA
1994-07-08,Vanuatu,2,Fiji,4,VAN,FIJ
1994-07-09,Italy,2,Spain,1,ITA,ESP
1994-07-09,Netherlands,2,Brazil,3,NED,BRA
1994-07-10,Bulgaria,2,Germany,1,BUL,GER
1994-07-10,Romania,2,Sweden,2,ROU,SWE
1994-07-13,Bulgaria,1,Italy,2,BUL,ITA
1994-07-13,Sweden,0,Brazil,1,SWE,BRA
1994-07-14,Japan,2,Ghana,1,JPN,GHA
1994-07-16,Armenia,1,Malta,0,ARM,MLT
1994-07-16,Sweden,4,Bulgaria,0,SWE,BUL
1994-07-17,Brazil,0,Italy,0,BRA,ITA
1994-07-19,Georgia,1,Malta,1,GEO,MLT
1994-07-29,Lithuania,3,Estonia,0,LTU,EST
1994-07-30,Estonia,0,Latvia,2,EST,LVA
1994-07-31,Lithuania,1,Latvia,0,LTU,LVA
1994-08-12,Myanmar,2,Thailand,2,MYA,THA
1994-08-16,Iceland,4,Estonia,0,ISL,EST
1994-08-16,Niger,3,Togo,2,NIG,TOG
1994-08-16,Slovakia,1,Malta,1,SVK,MLT
1994-08-17,Austria,0,Russia,3,AUT,RUS
1994-08-17,Denmark,2,Finland,1,DEN,FIN
1994-08-17,France,2,Czech Republic,2,FRA,CZE
1994-08-17,Israel,0,Croatia,4,ISR,CRO
1994-08-17,Peru,2,Ecuador,0,PER,ECU
1994-08-17,Poland,1,Belarus,1,POL,BLR
1994-08-17,Sweden,4,Lithuania,2,SWE,LTU
1994-08-19,Egypt,2,Mali,1,EGY,MLI
1994-08-21,Egypt,0,Mali,1,EGY,MLI
1994-08-23,Burkina Faso,0,Niger,0,BFA,NIG
1994-08-23,Egypt,2,Ghana,0,EGY,GHA
1994-08-25,Ghana,1,Zambia,0,GHA,ZAM
1994-08-25,Namibia,2,Botswana,3,NAM,BOT
1994-08-26,Ukraine,1,United Arab Emirates,1,UKR,UAE
1994-08-27,Egypt,0,Zambia,4,EGY,ZAM
1994-08-30,Iceland,1,United Arab Emirates,0,ISL,UAE
1994-08-31,North Macedonia,0,Turkey,2,MKD,TUR
1994-09-02,Solomon Islands,1,Fiji,0,SOL,FIJ
1994-09-03,Tanzania,4,Uganda,0,TAN,UGA
1994-09-04,Angola,2,Namibia,0,ANG,NAM
1994-09-04,Botswana,0,Guinea,1,BOT,GUI
1994-09-04,Burkina Faso,2,Morocco,1,BFA,MAR
1994-09-04,Congo,1,Gambia,1,CGO,GAM
1994-09-04,Estonia,0,Croatia,2,EST,CRO
1994-09-04,Ethiopia,0,Algeria,0,ETH,ALG
1994-09-04,Guinea-Bissau,1,Tunisia,3,GNB,TUN
1994-09-04,Israel,2,Poland,1,ISR,POL
1994-09-04,Liberia,1,Togo,0,LBR,TOG
1994-09-04,Madagascar,0,South Africa,1,MAD,RSA
1994-09-04,Mali,2,Mozambique,1,MLI,MOZ
1994-09-04,Sudan,0,Egypt,0,SDN,EGY
1994-09-06,Czech Republic,6,Malta,1,CZE,MLT
1994-09-06,Liberia,1,Togo,1,LBR,TOG
1994-09-06,Switzerland,1,United Arab Emirates,0,SUI,UAE
1994-09-07,Belgium,2,Armenia,0,BEL,ARM
1994-09-07,Cyprus,1,Spain,2,CYP,ESP
1994-09-07,Faroe Islands,1,Greece,5,FRO,GRE
1994-09-07,Finland,0,Scotland,2,FIN,SCO
1994-09-07,Georgia,0,Moldova,1,GEO,MDA
1994-09-07,Hungary,2,Turkey,2,HUN,TUR
1994-09-07,Iceland,0,Sweden,1,ISL,SWE
1994-09-07,Latvia,0,Republic of Ireland,3,LVA,IRL
1994-09-07,Liechtenstein,0,Austria,4,LIE,AUT
1994-09-07,Luxembourg,0,Netherlands,4,LUX,NED
1994-09-07,North Macedonia,1,Denmark,1,MKD,DEN
1994-09-07,Northern Ireland,1,Portugal,2,NIR,POR
1994-09-07,Norway,1,Belarus,0,NOR,BLR
1994-09-07,Romania,3,Azerbaijan,0,ROU,AZE
1994-09-07,Russia,0,Germany,1,RUS,GER
1994-09-07,Slovakia,0,France,0,SVK,FRA
1994-09-07,Slovenia,1,Italy,1,SVN,ITA
1994-09-07,Ukraine,0,Lithuania,2,UKR,LTU
1994-09-07,Wales,2,Albania,0,WAL,ALB
1994-09-10,Qatar,0,Oman,2,QAT,OMA
1994-09-12,Bangladesh,2,India,4,BAN,IND
1994-09-14,India,0,Yemen,1,IND,YEM
1994-09-14,Oman,1,Sudan,1,OMA,SDN
1994-09-16,India,1,Oman,4,IND,OMA
1994-09-16,Qatar,2,Yemen,0,QAT,YEM
1994-09-18,India,0,Yemen,2,IND,YEM
